sample_id,sample,era,location,individual_key,K2,K3,K4,admixedness,max_prop,dominant_cluster,conflict_flag,missing_extraction,missing_library,missing_decode,admixedness_rank,tissue_subsampling_flag,tissue_subsampling_min_p,tissue_subsampling_min_metric,extraction_order_flag,extraction_order_min_p,extraction_order_min_metric,extraction_plate_flag,extraction_plate_min_p,library_plate_flag,library_plate_min_p,dilution_plate_flag,dilution_plate_min_p,index_duplicate_flag,seq_name_duplicate_flag,decode_mismatch_flag,generode_mismatch_flag,lab_notes_flag,lab_notes,evidence_count,evidence_sources,evidence_flag,admixedness_percentile,candidate_flag
OchACan011,OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan011,0.0144206,9.93e-5,0.98548,0.01451999999999997,0.98548,K4,NA,FALSE,FALSE,FALSE,0.2743682310469314,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,27.4,FALSE
OchACan012,OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan012,0.0195671,9.93e-5,0.9803336,0.01966639999999997,0.9803336,K4,NA,FALSE,FALSE,FALSE,0.3104693140794224,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,31,FALSE
OchACan013,OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan013,0.0226775,9.89e-5,0.9772235,0.02277649999999997,0.9772235,K4,NA,FALSE,FALSE,FALSE,0.3249097472924188,TRUE,0,adj_abs_diff_mean,FALSE,0.226,high_low_transition,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,tissue_subsampling;extraction_plate;library_plate;dilution_plate,TRUE,32.5,FALSE
OchACan014,OchACan014.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan014,0.0196301,9.87e-5,0.9802712,0.01972879999999999,0.9802712,K4,NA,FALSE,FALSE,FALSE,0.3140794223826715,TRUE,0,adj_abs_diff_mean,FALSE,0.226,high_low_transition,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,tissue_subsampling;extraction_plate;library_plate;dilution_plate,TRUE,31.4,FALSE
OchACan015,OchACan015.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan015,0.009209,0.0213651,0.9694259,0.03057410000000005,0.9694259,K4,NA,FALSE,FALSE,FALSE,0.35018050541516244,TRUE,0,adj_abs_diff_mean,FALSE,0.226,high_low_transition,TRUE,0.003,TRUE,0.003,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,tissue_subsampling;extraction_plate;library_plate,TRUE,35,FALSE
OchACan016,OchACan016.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan016,0.0164982,9.88e-5,0.9834028,0.01659719999999998,0.9834028,K4,NA,FALSE,FALSE,FALSE,0.296028880866426,TRUE,0,adj_abs_diff_mean,FALSE,0.226,high_low_transition,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,tissue_subsampling;extraction_plate;library_plate;dilution_plate,TRUE,29.6,FALSE
OchACan017,OchACan017.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan017,0.0150529,9.9e-5,0.9848481,0.01515189999999999,0.9848481,K4,NA,FALSE,FALSE,FALSE,0.2815884476534296,TRUE,0,adj_abs_diff_mean,FALSE,0.226,high_low_transition,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,tissue_subsampling;extraction_plate;library_plate;dilution_plate,TRUE,28.2,FALSE
OchACan018,OchACan018.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan018,0.01652039999999999,9.9e-5,0.9833807,0.0166193,0.9833807,K4,NA,FALSE,FALSE,FALSE,0.2996389891696751,TRUE,0,adj_abs_diff_mean,FALSE,0.226,high_low_transition,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,tissue_subsampling;extraction_plate;library_plate;dilution_plate,TRUE,30,FALSE
OchACan019,OchACan019.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan019,0.0168349,9.86e-5,0.9830666,0.01693339999999998,0.9830666,K4,NA,FALSE,FALSE,FALSE,0.30324909747292417,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,30.3,FALSE
OchACan020,OchACan020.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,OchACan020,0.0153102,9.93e-5,0.9845904,0.01540960000000002,0.9845904,K4,NA,FALSE,FALSE,FALSE,0.2851985559566787,TRUE,0,adj_abs_diff_mean,TRUE,0,adj_abs_diff_mean,TRUE,0.003,TRUE,0.003,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,28.5,FALSE
