sample_id,sample,era,location,individual_key,K2,K3,K4,admixedness,max_prop,dominant_cluster,conflict_flag,missing_extraction,missing_library,missing_decode,admixedness_rank,tissue_subsampling_flag,tissue_subsampling_min_p,tissue_subsampling_min_metric,extraction_order_flag,extraction_order_min_p,extraction_order_min_metric,extraction_plate_flag,extraction_plate_min_p,library_plate_flag,library_plate_min_p,dilution_plate_flag,dilution_plate_min_p,index_duplicate_flag,seq_name_duplicate_flag,decode_mismatch_flag,generode_mismatch_flag,lab_notes_flag,lab_notes,evidence_count,evidence_sources,evidence_flag,admixedness_percentile,candidate_flag
OchATum004,OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum004,0.0883466,0.4844446,0.4272088,0.5155554,0.4844446,K3,NA,FALSE,FALSE,FALSE,1,FALSE,0.057,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,100,TRUE
OchATum036,OchATum036.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum036,0.0344043,0.4535258,0.5120699,0.4879301,0.5120699,K4,NA,FALSE,FALSE,FALSE,0.9963898916967509,TRUE,0.041,adj_abs_diff_mean,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,tissue_subsampling;extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,99.6,TRUE
OchATum008,OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum008,0.065842,0.5310016,0.4031563,0.4689984,0.5310016,K3,NA,FALSE,FALSE,FALSE,0.9927797833935018,FALSE,0.057,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,99.3,TRUE
OchATum025,OchATum025.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum025,0.0353195,0.5647496,0.3999309,0.4352504,0.5647496,K3,NA,FALSE,FALSE,FALSE,0.9891696750902527,FALSE,0.094,period3_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,98.9,TRUE
OchATum018,OchATum018.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum018,0.0859139,0.6180989,0.2959872,0.3819011,0.6180989,K3,NA,FALSE,FALSE,FALSE,0.9855595667870036,FALSE,0.057,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,98.6,TRUE
OchATum010,OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum010,0.04813929999999999,0.6260305,0.3258302,0.3739694999999999,0.6260305,K3,NA,FALSE,FALSE,FALSE,0.9819494584837545,FALSE,0.057,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,98.2,TRUE
OchATum012,OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum012,0.0363689,0.3207257,0.6429054,0.35709460000000004,0.6429054,K4,NA,FALSE,FALSE,FALSE,0.9783393501805054,FALSE,0.057,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,97.8,TRUE
OchATum011,OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum011,0.02248729999999999,0.3012813,0.6762314,0.32376859999999996,0.6762314,K4,NA,FALSE,FALSE,FALSE,0.9747292418772563,FALSE,0.057,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,97.5,TRUE
OchATum029,OchATum029.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum029,0.113191,0.6964793,0.1903297,0.3035207,0.6964793,K3,NA,FALSE,FALSE,FALSE,0.9711191335740073,FALSE,0.094,period3_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,97.1,TRUE
OchATum009,OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,OchATum009,0.029359,0.2394798,0.7311612,0.26883880000000004,0.7311612,K4,NA,FALSE,FALSE,FALSE,0.9675090252707581,FALSE,0.057,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,96.8,TRUE
