plate_key,plateid,n_wells,n_missing_admixedness,n_missing_k4
Och-ACan_LCWGS-libraries,Och-ACan_LCWGS-libraries,24,0,0
Och-A_RedoLibraries,Och-A_RedoLibraries,77,0,0
Och-CBur_LCWGS-libraries,Och-CBur_LCWGS-libraries,64,0,0
PIRE-A_LibrariesforCapture_Jan2023-2,PIRE-A_LibrariesforCapture_Jan2023-2,77,0,0
PIRE-C_Libraries-Apr2023-1,PIRE-C_Libraries-Apr2023-1,64,1,1
PIRE-C_LibrariesforCapture_Jan2023-2,PIRE-C_LibrariesforCapture_Jan2023-2,51,1,1
