sample_id,sample,era,location,cluster,prop
OchACat009,OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8895792
OchACat009,OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0032604
OchACat010,OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0939074
OchACat010,OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8962187
OchACat010,OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0098738
OchACat011,OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0697266
OchACat011,OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9255515
OchACat011,OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0047218
OchACat012,OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.11725340000000001
OchACat012,OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8585436
OchACat012,OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0242031
OchACat013,OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0774298
OchACat013,OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9224708
OchACat013,OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.93e-5
OchACat014,OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0702943
OchACat014,OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9296057
OchACat014,OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.99e-5
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.1069061
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8929952
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.86e-5
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0749252
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9249749
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.99e-5
OchACat017,OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.06488479999999999
OchACat017,OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9350151
OchACat017,OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
