plate_key,plateid,n_wells,n_missing_admixedness,n_missing_k4
Och-C_DilutionPlate,Och-C_DilutionPlate,96,0,0
Och-Mixed_Dilution Plate,Och-Mixed_Dilution Plate,59,0,0
Och-TL2-DilutionPlate,Och-TL2-DilutionPlate,75,0,0
