plate_key,plateid,adj_abs_diff_mean_obs,adj_abs_diff_mean_perm_mean,adj_abs_diff_mean_perm_sd,adj_abs_diff_mean_p_value,adj_abs_diff_median_obs,adj_abs_diff_median_perm_mean,adj_abs_diff_median_perm_sd,adj_abs_diff_median_p_value,cluster_mismatch_obs,cluster_mismatch_perm_mean,cluster_mismatch_perm_sd,cluster_mismatch_p_value
Och-C_DilutionPlate,Och-C_DilutionPlate,0.05950296860465116,0.05715522732093024,0.0025714717741815844,0.323,0.05472545000000002,0.05042015935000001,0.0040500743658028835,0.261,0,0,0,1
Och-Mixed_Dilution Plate,Och-Mixed_Dilution Plate,0.07779211666666666,0.08639706543235294,0.0050446872172866825,0.092,0.04428050000000001,0.056300543599999996,0.006607477459083108,0.068,0.3627450980392157,0.5829313725490196,0.04375915485172557,0
Och-TL2-DilutionPlate,Och-TL2-DilutionPlate,0.008503872868217056,0.014572444693798448,0.00118240220399928,0,0.001135100000000059,0.008357572100000002,0.001657636996867829,0,0.10077519379844961,0.43592248062015504,0.03632442768584243,0
