diagnostic,id,count
admixture_individuals,NA,278
missing_extraction,NA,0
missing_library,NA,0
missing_decode,NA,64
decode_sequence_id_not_in_metadata,Extraction_ID,1
decode_seq_name_not_in_metadata,Sequence_Name;OcA0102311B;OchACat039,3
extraction_without_admixture,Och-CBur_001,1
extraction_without_admixture,Och-CBur_002,1
extraction_without_admixture,Och-CBur_003,1
extraction_without_admixture,Och-CBur_004,1
extraction_without_admixture,Och-CBur_005,1
extraction_without_admixture,Och-CBur_006,1
extraction_without_admixture,Och-CBur_007,1
extraction_without_admixture,Och-CBur_008,1
extraction_without_admixture,Och-CBur_009,1
extraction_without_admixture,Och-CBur_010,1
extraction_without_admixture,Och-CBur_011,1
extraction_without_admixture,Och-CBur_012,1
extraction_without_admixture,Och-CBur_019,1
extraction_without_admixture,Och-CBur_020,1
extraction_without_admixture,Och-CBur_027,1
extraction_without_admixture,Och-CBur_033,1
extraction_without_admixture,Och-CBur_036,1
extraction_without_admixture,Och-CBur_039,1
extraction_without_admixture,Och-CBur_046,1
extraction_without_admixture,Och-CBur_048,1
extraction_without_admixture,Och-CBur_050,1
extraction_without_admixture,Och-CBur_068,1
extraction_without_admixture,Och-CBur_075,1
extraction_without_admixture,Och-CBur_081,1
extraction_without_admixture,Och-CBur_085,1
extraction_without_admixture,Och-CBur_090,1
extraction_without_admixture,Och-CBur_091,1
extraction_without_admixture,Och-CBur_092,1
extraction_without_admixture,Och-CBur_093,1
extraction_without_admixture,Och-CBur_094,1
extraction_without_admixture,Och-CBur_095,1
extraction_without_admixture,Och-CBur_096,1
extraction_without_admixture,Och-CCat_026,1
extraction_without_admixture,Och-CCat_027,1
extraction_without_admixture,Och-CCat_030,1
extraction_without_admixture,Och-CCat_032,1
extraction_without_admixture,Och-CCat_033,1
extraction_without_admixture,Och-CCat_034,1
extraction_without_admixture,Och-CCat_039,1
extraction_without_admixture,Och-CCat_040,1
extraction_without_admixture,Och-CCat_041,1
extraction_without_admixture,Och-CCat_042,1
extraction_without_admixture,Och-CCat_043,1
extraction_without_admixture,Och-CCat_044,1
extraction_without_admixture,Och-CCat_045,1
extraction_without_admixture,Och-CCat_046,1
extraction_without_admixture,Och-CCat_048,1
extraction_without_admixture,Och-CCat_049,1
extraction_without_admixture,Och-CCat_050,1
extraction_without_admixture,Och-CCat_052,1
extraction_without_admixture,Och-CCat_053,1
extraction_without_admixture,Och-CCat_054,1
extraction_without_admixture,Och-CCat_055,1
extraction_without_admixture,Och-CCat_056,1
extraction_without_admixture,Och-CCat_057,1
extraction_without_admixture,Och-CCat_058,1
extraction_without_admixture,Och-CCat_060,1
extraction_without_admixture,Och-CCat_061,1
extraction_without_admixture,Och-CCat_062,1
extraction_without_admixture,Och-CCat_064,1
extraction_without_admixture,Och-CCat_067,1
extraction_without_admixture,Och-CCat_073,1
extraction_without_admixture,Och-CCat_078,1
extraction_without_admixture,Och-CCat_089,1
extraction_without_admixture,Och-CCat_093,1
extraction_without_admixture,Och-CCat_097,1
extraction_without_admixture,Och-CCat_098,1
extraction_without_admixture,Och-CCat_099,1
extraction_without_admixture,Och-CCat_100,1
extraction_without_admixture,Och-CCat_101,1
extraction_without_admixture,Och-CCat_102,1
extraction_without_admixture,Och-CTum_046,1
library_without_admixture,Och-CCat_067,1
library_without_admixture,Och-CTum_046,1
