run_type,pool_round,pool_id,seq_field,seq_value,n_libraries,library_ids,individual_ids,extraction_ids,sequence_ids,novogene_seq_ids,full_seq_names,full_seq_decodes
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01001,2,2,Och-ACat_001;Och-ATum_001,Och-ACat_001-Ex1;Och-ATum_001-Ex1,Och-ACat_001-Ex1-1A-lcwgs-2-1;Och-ATum_001-Ex1-6D-lcwgs-2-1,OcA0100101A;OcA0100106D,OchACat001;OchATum001,Och-ACat_001-Ex1-1A-lcwgs-2-2;Och-ATum_001-Ex1-6D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01002,2,2,Och-ACat_002;Och-ATum_002,Och-ACat_002-Ex1;Och-ATum_002-Ex1,Och-ACat_002-Ex1-2A-lcwgs-2-1;Och-ATum_002-Ex1-7D-lcwgs-2-1,OcA0100202A;OcA0100207D,OchACat002;OchATum002,Och-ACat_002-Ex1-2A-lcwgs-2-2;Och-ATum_002-Ex1-7D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01003,2,2,Och-ACat_003;Och-ATum_003,Och-ACat_003-Ex1;Och-ATum_003-Ex1,Och-ACat_003-Ex1-3A-lcwgs-2-1;Och-ATum_003-Ex1-8D-lcwgs-2-1,OcA0100303A;OcA0100308D,OchACat003;OchATum003,Och-ACat_003-Ex1-3A-lcwgs-2-2;Och-ATum_003-Ex1-8D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01004,2,2,Och-ACat_004;Och-ATum_004,Och-ACat_004-Ex1;Och-ATum_004-Ex1,Och-ACat_004-Ex1-4A-lcwgs-2-1;Och-ATum_004-Ex1-9D-lcwgs-2-1,OcA0100404A;OcA0100409D,OchACat004;OchATum004,Och-ACat_004-Ex1-4A-lcwgs-2-2;Och-ATum_004-Ex1-9D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01005,2,2,Och-ACat_005;Och-ATum_005,Och-ACat_005-Ex1;Och-ATum_005-Ex1,Och-ACat_005-Ex1-5A-lcwgs-2-1;Och-ATum_005-Ex1-10D-lcwgs-2-1,OcA0100505A;OcA0100510D,OchACat005;OchATum005,Och-ACat_005-Ex1-5A-lcwgs-2-2;Och-ATum_005-Ex1-10D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01006,2,2,Och-ACat_006;Och-ATum_006,Och-ACat_006-Ex1;Och-ATum_006-Ex1,Och-ACat_006-Ex1-6A-lcwgs-2-1;Och-ATum_006-Ex1-11D-lcwgs-2-1,OcA0100606A;OcA0100611D,OchACat006;OchATum006,Och-ACat_006-Ex1-6A-lcwgs-2-2;Och-ATum_006-Ex1-11D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01007,3,1;2,Och-ACat_007;Och-ATum_007,Och-ACat_007-Ex1;Och-ATum_007-Ex1,Och-ACat_007-Ex1-4A-lcwgs-1-1;Och-ACat_007-Ex1-7A-lcwgs-2-1;Och-ATum_007-Ex1-12D-lcwgs-2-1,OcA0100704A;OcA0100707A;OcA0100712D,OchACat007;OchATum007,Och-ACat_007-Ex1-7A-lcwgs-2-2;Och-ATum_007-Ex1-12D-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01008,2,2,Och-ACat_008;Och-ATum_008,Och-ACat_008-Ex1;Och-ATum_008-Ex1,Och-ACat_008-Ex1-8A-lcwgs-2-1;Och-ATum_008-Ex1-1E-lcwgs-2-1,OcA0100808A;OcA0100801E,OchACat008;OchATum008,Och-ACat_008-Ex1-8A-lcwgs-2-2;Och-ATum_008-Ex1-1E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01009,3,1;2,Och-ACat_009;Och-ATum_009,Och-ACat_009-Ex1;Och-ATum_009-Ex1,Och-ACat_009-Ex1-4C-lcwgs-1-1;Och-ACat_009-Ex1-9A-lcwgs-2-1;Och-ATum_009-Ex1-2E-lcwgs-2-1,OcA0100904C;OcA0100909A;OcA0100902E,OchACat009;OchATum009,Och-ACat_009-Ex1-9A-lcwgs-2-2;Och-ATum_009-Ex1-2E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01010,2,2,Och-ACat_010;Och-ATum_010,Och-ACat_010-Ex1;Och-ATum_010-Ex1,Och-ACat_010-Ex1-10A-lcwgs-2-1;Och-ATum_010-Ex1-3E-lcwgs-2-1,OcA0101010A;OcA0101003E,OchACat010;OchATum010,Och-ACat_010-Ex1-10A-lcwgs-2-2;Och-ATum_010-Ex1-3E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01011,2,2,Och-ACat_011;Och-ATum_011,Och-ACat_011-Ex1;Och-ATum_011-Ex1,Och-ACat_011-Ex1-11A-lcwgs-2-1;Och-ATum_011-Ex1-4E-lcwgs-2-1,OcA0101111A;OcA0101104E,OchACat011;OchATum011,Och-ACat_011-Ex1-11A-lcwgs-2-2;Och-ATum_011-Ex1-4E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01012,2,2,Och-ACat_012;Och-ATum_012,Och-ACat_012-Ex1;Och-ATum_012-Ex1,Och-ACat_012-Ex1-12A-lcwgs-2-1;Och-ATum_012-Ex1-5E-lcwgs-2-1,OcA0101212A;OcA0101205E,OchACat012;OchATum012,Och-ACat_012-Ex1-12A-lcwgs-2-2;Och-ATum_012-Ex1-5E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01013,2,2,Och-ACat_013;Och-ATum_013,Och-ACat_013-Ex1;Och-ATum_013-Ex1,Och-ACat_013-Ex1-1B-lcwgs-2-1;Och-ATum_013-Ex1-6E-lcwgs-2-1,OcA0101301B;OcA0101306E,OchACat013;OchATum013,Och-ACat_013-Ex1-1B-lcwgs-2-2;Och-ATum_013-Ex1-6E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01014,2,2,Och-ACat_014;Och-ATum_014,Och-ACat_014-Ex1;Och-ATum_014-Ex1,Och-ACat_014-Ex1-2B-lcwgs-2-1;Och-ATum_014-Ex1-7E-lcwgs-2-1,OcA0101402B;OcA0101407E,OchACat014;OchATum014,Och-ACat_014-Ex1-2B-lcwgs-2-2;Och-ATum_014-Ex1-7E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01015,3,1;2,Och-ACat_015;Och-ATum_015,Och-ACat_015-Ex1;Och-ATum_015-Ex1,Och-ACat_015-Ex1-5A-lcwgs-1-1;Och-ACat_015-Ex1-3B-lcwgs-2-1;Och-ATum_015-Ex1-8E-lcwgs-2-1,OcA0101505A;OcA0101503B;OcA0101508E,OchACat015;OchATum015,Och-ACat_015-Ex1-3B-lcwgs-2-2;Och-ATum_015-Ex1-8E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01016,2,2,Och-ACat_016;Och-ATum_016,Och-ACat_016-Ex1;Och-ATum_016-Ex1,Och-ACat_016-Ex1-4B-lcwgs-2-1;Och-ATum_016-Ex1-9E-lcwgs-2-1,OcA0101604B;OcA0101609E,OchACat016;OchATum016,Och-ACat_016-Ex1-4B-lcwgs-2-2;Och-ATum_016-Ex1-9E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01017,2,2,Och-ACat_017;Och-ATum_017,Och-ACat_017-Ex1;Och-ATum_017-Ex1,Och-ACat_017-Ex1-5B-lcwgs-2-1;Och-ATum_017-Ex1-10E-lcwgs-2-1,OcA0101705B;OcA0101710E,OchACat017;OchATum017,Och-ACat_017-Ex1-5B-lcwgs-2-2;Och-ATum_017-Ex1-10E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01018,2,2,Och-ACat_018;Och-ATum_018,Och-ACat_018-Ex1;Och-ATum_018-Ex1,Och-ACat_018-Ex1-6B-lcwgs-2-1;Och-ATum_018-Ex1-11E-lcwgs-2-1,OcA0101806B;OcA0101811E,OchACat018;OchATum018,Och-ACat_018-Ex1-6B-lcwgs-2-2;Och-ATum_018-Ex1-11E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01019,2,2,Och-ACat_019;Och-ATum_019,Och-ACat_019-Ex1;Och-ATum_019-Ex1,Och-ACat_019-Ex1-7B-lcwgs-2-1;Och-ATum_019-Ex1-12E-lcwgs-2-1,OcA0101907B;OcA0101912E,OchACat019;OchATum019,Och-ACat_019-Ex1-7B-lcwgs-2-2;Och-ATum_019-Ex1-12E-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01020,2,2,Och-ACat_020;Och-ATum_020,Och-ACat_020-Ex1;Och-ATum_020-Ex1,Och-ACat_020-Ex1-8B-lcwgs-2-1;Och-ATum_020-Ex1-1F-lcwgs-2-1,OcA0102008B;OcA0102001F,OchACat020;OchATum020,Och-ACat_020-Ex1-8B-lcwgs-2-2;Och-ATum_020-Ex1-1F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01021,2,2,Och-ACat_021;Och-ATum_021,Och-ACat_021-Ex1;Och-ATum_021-Ex1,Och-ACat_021-Ex1-9B-lcwgs-2-1;Och-ATum_021-Ex1-2F-lcwgs-2-1,OcA0102109B;OcA0102102F,OchACat021;OchATum021,Och-ACat_021-Ex1-9B-lcwgs-2-2;Och-ATum_021-Ex1-2F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01022,2,2,Och-ACat_022;Och-ATum_022,Och-ACat_022-Ex1;Och-ATum_022-Ex1,Och-ACat_022-Ex1-10B-lcwgs-2-1;Och-ATum_022-Ex1-3F-lcwgs-2-1,OcA0102210B;OcA0102203F,OchACat022;OchATum022,Och-ACat_022-Ex1-10B-lcwgs-2-2;Och-ATum_022-Ex1-3F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01023,3,2;1,Och-ACat_023;Och-ATum_023,Och-ACat_023-Ex1;Och-ATum_023-Ex1,Och-ACat_023-Ex1-11B-lcwgs-2-1;Och-ATum_023-Ex1-11B-lcwgs-1-1;Och-ATum_023-Ex1-4F-lcwgs-2-1,OcA0102311B1;OcA0102311B2;OcA0102304F,OchACat023;OchATum023,Och-ACat_023-Ex1-11B-lcwgs-2-2;Och-ATum_023-Ex1-4F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01024,2,2,Och-ACat_024;Och-ATum_024,Och-ACat_024-Ex1;Och-ATum_024-Ex1,Och-ACat_024-Ex1-12B-lcwgs-2-1;Och-ATum_024-Ex1-5F-lcwgs-2-1,OcA0102412B;OcA0102405F,OchACat024;OchATum024,Och-ACat_024-Ex1-12B-lcwgs-2-2;Och-ATum_024-Ex1-5F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01025,2,2,Och-ACat_025;Och-ATum_025,Och-ACat_025-Ex1;Och-ATum_025-Ex1,Och-ACat_025-Ex1-1C-lcwgs-2-1;Och-ATum_025-Ex1-6F-lcwgs-2-1,OcA0102501C;OcA0102506F,OchACat025;OchATum025,Och-ACat_025-Ex1-1C-lcwgs-2-2;Och-ATum_025-Ex1-6F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01026,2,2,Och-ACat_026;Och-ATum_026,Och-ACat_026-Ex1;Och-ATum_026-Ex1,Och-ACat_026-Ex1-2C-lcwgs-2-1;Och-ATum_026-Ex1-7F-lcwgs-2-1,OcA0102602C;OcA0102607F,OchACat026;OchATum026,Och-ACat_026-Ex1-2C-lcwgs-2-2;Och-ATum_026-Ex1-7F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01027,2,2,Och-ACat_027;Och-ATum_027,Och-ACat_027-Ex1;Och-ATum_027-Ex1,Och-ACat_027-Ex1-3C-lcwgs-2-1;Och-ATum_027-Ex1-8F-lcwgs-2-1,OcA0102703C;OcA0102708F,OchACat027;OchATum027,Och-ACat_027-Ex1-3C-lcwgs-2-2;Och-ATum_027-Ex1-8F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01028,2,2,Och-ACat_028;Och-ATum_028,Och-ACat_028-Ex1;Och-ATum_028-Ex1,Och-ACat_028-Ex1-4C-lcwgs-2-1;Och-ATum_028-Ex1-9F-lcwgs-2-1,OcA0102804C;OcA0102809F,OchACat028;OchATum028,Och-ACat_028-Ex1-4C-lcwgs-2-2;Och-ATum_028-Ex1-9F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01029,2,2,Och-ACat_029;Och-ATum_029,Och-ACat_029-Ex1;Och-ATum_029-Ex1,Och-ACat_029-Ex1-5C-lcwgs-2-1;Och-ATum_029-Ex1-10F-lcwgs-2-1,OcA0102905C;OcA0102910F,OchACat029;OchATum029,Och-ACat_029-Ex1-5C-lcwgs-2-2;Och-ATum_029-Ex1-10F-lcwgs-2-2
test_lane,Test Lane,Och-A,test_lane_seq_name,OcA01030,2,2,Och-ACat_030;Och-ATum_030,Och-ACat_030-Ex1;Och-ATum_030-Ex1,Och-ACat_030-Ex1-6C-lcwgs-2-1;Och-ATum_030-Ex1-11F-lcwgs-2-1,OcA0103006C;OcA0103011F,OchACat030;OchATum030,Och-ACat_030-Ex1-6C-lcwgs-2-2;Och-ATum_030-Ex1-11F-lcwgs-2-2
