plate_key,plateid,elution,adj_abs_diff_mean_obs,adj_abs_diff_mean_perm_mean,adj_abs_diff_mean_perm_sd,adj_abs_diff_mean_p_value,adj_abs_diff_median_obs,adj_abs_diff_median_perm_mean,adj_abs_diff_median_perm_sd,adj_abs_diff_median_p_value,cluster_mismatch_obs,cluster_mismatch_perm_mean,cluster_mismatch_perm_sd,cluster_mismatch_p_value
Mix-A_005_E1|1,Mix-A_005_E1,1,0.02023759117647059,0.03447026254411764,0.004218694834097443,0.005,0.00411349999999999,0.006171342850000014,0.001110372133156482,0.051,0.11764705882352941,0.22717647058823529,0.03591747696674764,0.011
Mix-C_005_E1|1,Mix-C_005_E1,1,0.015033950000000013,0.018442225083333336,0.003493354369686098,0.348,0.008005499999999992,0.0167300824,0.004351727697637982,0.063,0,0,0,1
Mix-C_008_E1|1,Mix-C_008_E1,1,0.06188480606060606,0.07534532202727273,0.005636414919914066,0.013,0.03812330000000004,0.04504418145,0.0061211414635536105,0.279,0,0,0,1
Mix-C_010_E1|1,Mix-C_010_E1,1,0.1497673466666667,0.14687005614333334,0.016252376274349254,0.843,0.12172605000000003,0.1296152667,0.02916846766195368,0.857,0.4,0.5104333333333333,0.08635677122484851,0.234
Och-A_001_E1|1,Och-A_001_E1,1,0.08307731629629629,0.10442537790666666,0.005926295807594737,0.002,0.03332600000000008,0.058285724399999995,0.006098753998839682,0,0.2074074074074074,0.24854074074074073,0.022279232103309895,0.062
Och-C_001_E1|1,Och-C_001_E1,1,0.09241824838709678,0.10634581925268817,0.007820351476458253,0.068,0.05532499999999996,0.06331569620000001,0.007589321649948164,0.291,0.3763440860215054,0.41116129032258064,0.042178428810802575,0.464
Och-C_002_E1|1,Och-C_002_E1,1,0.09387550652173914,0.10138618652608695,0.009840587726026062,0.435,0.08009065000000004,0.0824231235,0.012373356103446854,0.855,0.41304347826086957,0.4726739130434783,0.07156033974471745,0.433
