sample_id,sample,era,location,prop_sum,max_prop,dominant_cluster,entropy,effective_clusters,admixedness
OchACan022,OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,1.0000001,0.8631737,K3,0.4708592547225493,1.6013695866059428,0.13682629999999996
OchACan023,OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,1,0.8609269,K3,0.5112798120667255,1.667423819099764,0.13907309999999995
OchACan024,OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.9999999,0.8290882,K3,0.5708784947842792,1.769821147348262,0.17091179999999995
OchACat001,OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.9383077,K3,0.26484750699791365,1.303232226830157,0.06169230000000003
OchACat002,OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9287066,K3,0.25848145098222536,1.2949621293545384,0.07129339999999995
OchACat003,OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9310529,K3,0.2524139296529284,1.2871287077724625,0.06894710000000004
OchACat004,OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9172292,K3,0.34753632465485945,1.4155757299806015,0.08277080000000003
OchACat005,OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.88607,K3,0.35624020339760426,1.4279505056354973,0.11392999999999998
OchACat006,OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9143772,K3,0.2938328214471336,1.3415596049251888,0.0856228
OchACat007,OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000000999999998,0.80507,K3,0.594652096858638,1.812400295507842,0.19493000000000005
OchACat008,OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000000999999998,0.9007369,K3,0.3250228638804766,1.3840622906537756,0.09926310000000005
OchACat009,OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.8895792,K3,0.39865543570519363,1.489820191314517,0.11042079999999999
OchACat010,OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999999,0.8962187,K3,0.38424630389118986,1.4685070961537319,0.10378129999999997
OchACat011,OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.9255515,K3,0.283341026910049,1.327557817569311,0.07444850000000003
OchACat012,OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.8585436,K3,0.5462693855358605,1.7267989653650804,0.14145640000000004
OchACat013,OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999999,0.9224708,K3,0.2742138694531828,1.3154961165904984,0.07752919999999996
OchACat014,OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.9296057,K3,0.30234575177296474,1.3530289580064634,0.07039430000000002
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.8929952,K3,0.3417821965740371,1.4074537158868459,0.10700480000000001
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9249749,K3,0.26797000869973264,1.3073079315622653,0.07502509999999996
OchACat017,OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.9350151,K3,0.24660415883811154,1.2796724654733869,0.06498490000000001
OchACat018,OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.888065,K3,0.3521260262558262,1.4220877328182377,0.111935
OchACat019,OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9139609,K3,0.29482265629596277,1.342888184802781,0.086039100000000035
OchACat020,OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9071505,K3,0.34370275404304595,1.4101594090210838,0.09284950000000003
OchACat021,OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.8821653,K3,0.4624424147810208,1.587947679368186,0.11783469999999996
OchACat022,OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.8894494,K3,0.4193760839200496,1.521012275497377,0.11055060000000005
OchACat023,OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9262874,K3,0.29617454707104707,1.3447048506420007,0.07371260000000002
OchACat024,OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999999,0.8616838,K3,0.4738508610028087,1.6061674269646518,0.1383162
OchACat025,OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9204159,K3,0.3319242415980168,1.3936472640234603,0.07958410000000005
OchACat026,OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9194118,K3,0.33329064074392967,1.395552844049702,0.0805882
OchACat027,OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9274101,K3,0.31128881058647107,1.365183443686617,0.072589899999999985
OchACat028,OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.907338,K3,0.31021733507200233,1.363721466430235,0.09266200000000002
OchACat029,OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9167886,K3,0.28808013506362,1.3338641891323653,0.08321140000000005
OchACat030,OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9027975,K3,0.3204570545052304,1.3777573306470245,0.09720249999999997
OchACat031,OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.9175217,K3,0.33642341759594946,1.399931655032912,0.0824783
OchACat032,OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.888473,K3,0.45377164126740366,1.5742384653246821,0.11152700000000004
OchACat033,OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9037184,K3,0.3641023538793208,1.4392215165248516,0.09628159999999997
OchACat034,OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1.0000001,0.9201861,K3,0.3342666512565057,1.3969155832120457,0.0798139
OchACat035,OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.9221191,K3,0.327610231737591,1.3876480057184366,0.07788090000000003
OchACat036,OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999998999999999,0.8273469,K3,0.6088471584631634,1.8383108955563756,0.1726531
OchACat037,OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9281126,K3,0.26000261003275543,1.296933471700197,0.07188740000000005
OchACat038,OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.8988233,K3,0.3606667741146676,1.4342854402029166,0.10117670000000001
OchACat039,OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.8139906,K3,0.5903278729000843,1.8045799912868834,0.1860094
OchACat040,OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,1,0.9091052,K3,0.34266994465710654,1.4087037349940719,0.09089480000000005
OchACat041,OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,0.9999999,0.9175662,K3,0.33118243679572634,1.3926138331396942,0.0824338
OchATum001,OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.876946,K3,0.4424516012254592,1.5565185074023447,0.123054
OchATum002,OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.879118,K3,0.4017705291748219,1.494468356439073,0.12088200000000004
OchATum003,OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999998999999999,0.8867778,K3,0.37221678444979295,1.4509474900549326,0.11322220000000005
OchATum004,OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.4844446,K3,0.929589496337077,2.533468965836711,0.5155554
OchATum005,OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.9592711,K4,0.18914796125716696,1.2082197089651312,0.04072889999999996
OchATum006,OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999999,0.7682712,K3,0.695893247721511,2.0054996821153206,0.23172879999999996
OchATum007,OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.8862786,K4,0.4318130902377994,1.54004723839537,0.11372139999999997
OchATum008,OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999998999999999,0.5310016,K3,0.882238814671915,2.416303310629612,0.46899840000000004
OchATum009,OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.7311612,K4,0.6754802251332661,1.9649763804726175,0.26883880000000004
OchATum010,OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.6260305,K3,0.8053437290298643,2.2374654484852172,0.37396949999999995
OchATum011,OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.6762314,K4,0.7119878623241339,2.0380385746581586,0.32376859999999996
OchATum012,OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.6429054,K4,0.7699505670226655,2.1596594927474237,0.35709460000000004
OchATum013,OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.7400394,K4,0.7037406944885388,2.0212996477232656,0.2599606
OchATum014,OchATum014.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.8595538,K3,0.47677985728088645,1.6108787817823307,0.14044619999999997
OchATum015,OchATum015.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.871089,K3,0.41238012583148964,1.5104084724953415,0.128911
OchATum016,OchATum016.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.9524037,K4,0.21309833294888916,1.237506332907828,0.047596300000000036
OchATum017,OchATum017.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999999,0.9284708,K4,0.284991814131931,1.3297511429095008,0.07152919999999996
OchATum018,OchATum018.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.6180989,K3,0.8693668066756989,2.385399955901748,0.3819011
OchATum019,OchATum019.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.7798111,K3,0.5581156527635406,1.7473767315697766,0.22018890000000002
OchATum020,OchATum020.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.8220931,K3,0.48623142259556906,1.6261762866057115,0.17790689999999998
OchATum021,OchATum021.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.824769,K3,0.46816597508389385,1.5970624532652127,0.17523100000000003
OchATum022,OchATum022.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999999,0.8314481,K3,0.4576533991596219,1.5803611536204203,0.16855189999999998
OchATum023,OchATum023.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.8576064,K3,0.46547597030499194,1.5927721207283532,0.1423936
OchATum024,OchATum024.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.879817,K3,0.3887528417777644,1.4751399133147454,0.12018300000000004
OchATum025,OchATum025.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999999999999999,0.5647496,K3,0.8079797050215518,2.2433711338925555,0.43525040000000004
OchATum026,OchATum026.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999999,0.8767865,K3,0.41236198888839154,1.5103810785512428,0.12321349999999998
OchATum027,OchATum027.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.8350616,K3,0.44945195996754983,1.5674529231057397,0.16493840000000004
OchATum028,OchATum028.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.7404956,K4,0.7131073997349725,2.040321512766084,0.25950439999999997
OchATum029,OchATum029.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.6964793,K3,0.8165419810517827,2.262661965637427,0.3035207
OchATum030,OchATum030.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999998999999999,0.8223876,K3,0.5915925909872398,1.80686372007373,0.1776124
OchATum031,OchATum031.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999998999999999,0.9394058,K4,0.2659402196490883,1.304657063498586,0.06059420000000004
OchATum032,OchATum032.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.8688287,K3,0.4481565029074657,1.565423669839181,0.1311713
OchATum033,OchATum033.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.8504061,K3,0.506445262058154,1.6593820301395898,0.14959389999999995
OchATum034,OchATum034.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,0.9999999,0.8856465,K3,0.3824020219173671,1.4658012509256202,0.1143535
OchATum035,OchATum035.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1.0000001,0.8439817,K3,0.5290999418366046,1.6974038586752305,0.15601830000000005
OchATum036,OchATum036.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,1,0.5120699,K4,0.8179460718947023,2.2658411800145872,0.48793010000000003
OchCBur013,OchCBur013.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.5459263,K2,0.6907985015812428,1.9953081540194075,0.4540737
OchCBur014,OchCBur014.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.8574125,K1,0.47867376824509295,1.6139325336234114,0.14258749999999998
OchCBur015,OchCBur015.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5625974,K2,0.6871629984806213,1.9880673749511937,0.4374026
OchCBur016,OchCBur016.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6245969,K2,0.6636165150920126,1.941802208096028,0.3754031
OchCBur017,OchCBur017.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.5798707,K2,0.6822006269869195,1.9782262838519842,0.42012930000000004
OchCBur018,OchCBur018.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.5999532,K2,0.6748844527690082,1.9638060505084542,0.40004680000000004
OchCBur021,OchCBur021.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.5277442,K2,0.693495477929883,2.0006967160650184,0.4722558
OchCBur022,OchCBur022.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5610813,K2,0.7010531309521224,2.0158745698800136,0.4389187
OchCBur023,OchCBur023.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5915601,K2,0.6781469759926614,1.9702234761628188,0.40843989999999997
OchCBur024,OchCBur024.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.8625196,K1,0.46732783056123933,1.5957244449181824,0.13748039999999995
OchCBur025,OchCBur025.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5506399,K2,0.6898899325732891,1.9934961021810724,0.44936010000000004
OchCBur026,OchCBur026.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999999999999,0.8603249,K1,0.4841353655042302,1.6227712980402573,0.13967510000000005
OchCBur028,OchCBur028.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5682799,K2,0.6873613874866189,1.988461824787528,0.43172010000000005
OchCBur029,OchCBur029.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998,0.6014748,K2,0.6742638744131724,1.962587733048272,0.3985252
OchCBur030,OchCBur030.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.6472544,K2,0.650963330693742,1.9173870173917937,0.3527456
OchCBur031,OchCBur031.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.9002878,K1,0.3760552639566801,1.4565276250265058,0.09971220000000003
OchCBur032,OchCBur032.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.6072671,K2,0.7230010537598374,2.060607935861894,0.39273290000000005
OchCBur034,OchCBur034.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5246474,K1,0.6938215987803847,2.001349291383083,0.4753526
OchCBur035,OchCBur035.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.6568651,K2,0.6935976157217745,2.00090107324596,0.3431349
OchCBur037,OchCBur037.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5895215,K2,0.67889283579452,1.971693534815044,0.41047849999999997
OchCBur038,OchCBur038.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.5795174,K2,0.6823110490133112,1.9784447356676325,0.42048260000000004
OchCBur040,OchCBur040.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5531649,K2,0.6893593334022109,1.9924386353720231,0.44683510000000004
OchCBur041,OchCBur041.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5368801,K2,0.6923091195444048,1.9983245801190228,0.46311990000000003
OchCBur042,OchCBur042.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.8601888,K1,0.5036868130696875,1.6548110168090393,0.13981120000000002
OchCBur043,OchCBur043.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.8609987,K1,0.40479087720610846,1.4989889945107868,0.1390013
OchCBur044,OchCBur044.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.906519,K1,0.3692841011980343,1.4466985540886341,0.09348100000000004
OchCBur045,OchCBur045.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5814019,K1,0.6817033333684284,1.9772427691131633,0.4185981
OchCBur047,OchCBur047.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.626753,K2,0.7170751784664406,2.048433138996856,0.373247
OchCBur049,OchCBur049.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.6209852,K2,0.6654277452950744,1.9453224459218788,0.3790148
OchCBur051,OchCBur051.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6252979,K2,0.6632582092950849,1.9411065737407336,0.37470210000000004
OchCBur052,OchCBur052.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6407514,K2,0.6728732666040264,1.9598604399575967,0.35924860000000003
OchCBur053,OchCBur053.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5615841,K1,0.6874147724579872,1.9885679815986752,0.43841589999999997
OchCBur054,OchCBur054.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.8485289,K1,0.4922894750623363,1.6360576485542653,0.15147109999999997
OchCBur055,OchCBur055.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6257606,K2,0.6630172669123725,1.9406389352369877,0.3742394
OchCBur056,OchCBur056.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.6060526,K2,0.7287371816030783,2.072461811587613,0.39394739999999995
OchCBur057,OchCBur057.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.6153417,K2,0.6963226709646381,2.0063610752307803,0.3846583
OchCBur058,OchCBur058.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.5192154,K2,0.6943023724242986,2.002311718710954,0.4807846
OchCBur059,OchCBur059.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6373074,K2,0.703058969531136,2.019922146898718,0.36269260000000003
OchCBur060,OchCBur060.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.6376862,K2,0.6736601013804411,1.9614031331514106,0.3623138
OchCBur061,OchCBur061.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.621276,K2,0.6652854767069312,1.945045707330085,0.37872399999999995
OchCBur062,OchCBur062.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5051705,K1,0.6949916277553405,2.003692298468806,0.49482950000000003
OchCBur063,OchCBur063.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.6411247,K2,0.6546053926419343,1.9243829918407191,0.3588753
OchCBur064,OchCBur064.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5349328,K2,0.6925901223852573,1.998886193906821,0.4650672
OchCBur065,OchCBur065.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998,0.5070504,K2,0.6949449758277312,2.003598824541133,0.4929496
OchCBur066,OchCBur066.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.7216693,K1,0.5931465228262046,1.8096736457881113,0.27833070000000004
OchCBur067,OchCBur067.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.6058031,K2,0.6724393004154537,1.9590101113126195,0.39419689999999996
OchCBur069,OchCBur069.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5198808,K2,0.6942517885420865,2.0022104365724664,0.48011919999999997
OchCBur070,OchCBur070.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5870457,K2,0.6797809299390285,1.9734453620767047,0.4129543
OchCBur071,OchCBur071.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999998999999999,0.6212941,K1,0.6652699213696918,1.9450154517234803,0.37870590000000004
OchCBur072,OchCBur072.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5994363,K2,0.7121236749127083,2.03831538474932,0.40056369999999997
OchCBur073,OchCBur073.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5242143,K1,0.6938607502765776,2.0014276487361387,0.4757857
OchCBur074,OchCBur074.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.5993519,K2,0.6751276883015132,1.9642837760164398,0.40064809999999995
OchCBur076,OchCBur076.merged.rmdup.merged.realn.bam,Contemporary,Bur,1.0000001,0.5481613,K2,0.6903840759490788,1.9944814184983441,0.45183870000000004
OchCBur077,OchCBur077.merged.rmdup.merged.realn.bam,Contemporary,Bur,1,0.5881478,K1,0.6793835371509943,1.972661284925857,0.4118522
OchCBur078,OchCBur078.merged.rmdup.merged.realn.bam,Contemporary,Bur,0.9999999,0.8147427,K1,0.4809726269291576,1.617647004329608,0.18525729999999996
