sample_id,sample,era,location,K2,K3,K4,prop_sum,max_prop,dominant_cluster,entropy,effective_clusters,admixedness,individual_key,extraction_individual_ids,extraction_ids,n_extractions,library_individual_ids,library_extraction_ids,library_ids,sequence_ids,novogene_seq_ids,full_seq_names,full_seq_decodes,n_library_rows,n_library_extractions,decode_seq_names,decode_sequence_ids,n_decode_entries,conflict_flag,missing_extraction,missing_library,missing_decode
OchACan001,OchACan001.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0145099,9.89e-5,0.9853912,1,0.9853912,K4,0.07683287007009616,1.0798615841193302,0.01460879999999997,OchACan001,Och-ACan_001,Och-ACan_001-Ex1,1,Och-ACan_001,Och-ACan_001-Ex1,1,Och-ACan_001-Ex1-1A-lcwgs-1-1,OcA0500101A,OchACan001,Och-ACan_001-Ex1-1A-lcwgs-1-2,1,1,OcA0500101A;OchACan001,Och-ACan_001-Ex1-1A-lcwgs-1-1;Och-ACan_001-Ex1-1A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan002,OchACan002.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.012064,9.93e-5,0.9878367,1,0.9878367,K4,0.06629738515254195,1.068544439171789,0.01216329999999998,OchACan002,Och-ACan_002,Och-ACan_002-Ex1,1,Och-ACan_002,Och-ACan_002-Ex1,1,Och-ACan_002-Ex1-2A-lcwgs-1-1,OcA0500202A,OchACan002,Och-ACan_002-Ex1-2A-lcwgs-1-2,1,1,OcA0500202A;OchACan002,Och-ACan_002-Ex1-2A-lcwgs-1-1;Och-ACan_002-Ex1-2A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan003,OchACan003.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.01588299999999999,9.89e-5,0.9840181,1,0.9840181,K4,0.08256092177777602,1.0860648364242678,0.01598189999999999,OchACan003,Och-ACan_003,Och-ACan_003-Ex1,1,Och-ACan_003,Och-ACan_003-Ex1,1,Och-ACan_003-Ex1-3A-lcwgs-1-1,OcA0500303A,OchACan003,Och-ACan_003-Ex1-3A-lcwgs-1-2,1,1,OcA0500303A;OchACan003,Och-ACan_003-Ex1-3A-lcwgs-1-1;Och-ACan_003-Ex1-3A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan004,OchACan004.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0162303,9.92e-5,0.9836705,1,0.9836705,K4,0.08399294879112482,1.0876212247373551,0.01632949999999999,OchACan004,Och-ACan_004,Och-ACan_004-Ex1,1,Och-ACan_004,Och-ACan_004-Ex1,1,Och-ACan_004-Ex1-4A-lcwgs-1-1,OcA0500404A,OchACan004,Och-ACan_004-Ex1-4A-lcwgs-1-2,1,1,OcA0500404A;OchACan004,Och-ACan_004-Ex1-4A-lcwgs-1-1;Och-ACan_004-Ex1-4A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan005,OchACan005.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0122223,9.94e-5,0.9876782,0.9999999,0.9876782,K4,0.06699471526502176,1.0692898272463165,0.01232180000000005,OchACan005,Och-ACan_005,Och-ACan_005-Ex1,1,Och-ACan_005,Och-ACan_005-Ex1,1,Och-ACan_005-Ex1-5A-lcwgs-1-1,OcA0500505A,OchACan005,Och-ACan_005-Ex1-5A-lcwgs-1-2,1,1,OcA0500505A;OchACan005,Och-ACan_005-Ex1-5A-lcwgs-1-1;Och-ACan_005-Ex1-5A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan006,OchACan006.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0125738,9.95e-5,0.9873267,1,0.9873267,K4,0.06853428900276981,1.0709373456950295,0.01267329999999999,OchACan006,Och-ACan_006,Och-ACan_006-Ex1,1,Och-ACan_006,Och-ACan_006-Ex1,1,Och-ACan_006-Ex1-6A-lcwgs-1-1,OcA0500606A,OchACan006,Och-ACan_006-Ex1-6A-lcwgs-1-2,1,1,OcA0500606A;OchACan006,Och-ACan_006-Ex1-6A-lcwgs-1-1;Och-ACan_006-Ex1-6A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan007,OchACan007.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0210545,9.82e-5,0.9788473,1,0.9788473,K4,0.10311749165109542,1.1086216552131516,0.02115270000000002,OchACan007,Och-ACan_007,Och-ACan_007-Ex1,1,Och-ACan_007,Och-ACan_007-Ex1,1,Och-ACan_007-Ex1-7A-lcwgs-1-1,OcA0500707A,OchACan007,Och-ACan_007-Ex1-7A-lcwgs-1-2,1,1,OcA0500707A;OchACan007,Och-ACan_007-Ex1-7A-lcwgs-1-1;Och-ACan_007-Ex1-7A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan008,OchACan008.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0218274,9.83e-5,0.9780743,1,0.9780743,K4,0.1060714561926313,1.111901325903252,0.02192570000000004,OchACan008,Och-ACan_008,Och-ACan_008-Ex1,1,Och-ACan_008,Och-ACan_008-Ex1,1,Och-ACan_008-Ex1-8A-lcwgs-1-1,OcA0500808A,OchACan008,Och-ACan_008-Ex1-8A-lcwgs-1-2,1,1,OcA0500808A;OchACan008,Och-ACan_008-Ex1-8A-lcwgs-1-1;Och-ACan_008-Ex1-8A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan009,OchACan009.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0138545,9.9e-5,0.9860465,1,0.9860465,K4,0.07405392964796047,1.076864878874086,0.01395349999999995,OchACan009,Och-ACan_009,Och-ACan_009-Ex1,1,Och-ACan_009,Och-ACan_009-Ex1,1,Och-ACan_009-Ex1-9A-lcwgs-1-1,OcA0500909A,OchACan009,Och-ACan_009-Ex1-9A-lcwgs-1-2,1,1,OcA0500909A;OchACan009,Och-ACan_009-Ex1-9A-lcwgs-1-1;Och-ACan_009-Ex1-9A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
OchACan010,OchACan010.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0188844,0.012882,0.9682336,1,0.9682336,K4,0.16227800546869822,1.176187182342102,0.03176639999999997,OchACan010,Och-ACan_010,Och-ACan_010-Ex1,1,Och-ACan_010,Och-ACan_010-Ex1,1,Och-ACan_010-Ex1-10A-lcwgs-1-1,OcA0501010A,OchACan010,Och-ACan_010-Ex1-10A-lcwgs-1-2,1,1,OcA0501010A;OchACan010,Och-ACan_010-Ex1-10A-lcwgs-1-1;Och-ACan_010-Ex1-10A-lcwgs-1-2,2,NA,FALSE,FALSE,FALSE
