adj_abs_diff_mean,adj_abs_diff_median,cluster_mismatch_rate,plate_key,plateid,elution,n_wells,n_missing_admixedness,n_missing_dominant_cluster,n_neighbor_pairs
0.02023759117647059,0.00411349999999999,0.11764705882352941,Mix-A_005_E1|1,Mix-A_005_E1,1,24,0,0,68
0.015033950000000013,0.008005499999999992,0,Mix-C_005_E1|1,Mix-C_005_E1,1,8,0,0,12
0.06188480606060606,0.03812330000000004,0,Mix-C_008_E1|1,Mix-C_008_E1,1,43,1,1,138
0.1497673466666667,0.12172605000000003,0.4,Mix-C_010_E1|1,Mix-C_010_E1,1,22,0,0,60
0.08307731629629629,0.03332600000000008,0.2074074074074074,Och-A_001_E1|1,Och-A_001_E1,1,77,0,0,270
0.09241824838709678,0.05532499999999996,0.3763440860215054,Och-C_001_E1|1,Och-C_001_E1,1,96,32,32,344
0.09387550652173914,0.08009065000000004,0.41304347826086957,Och-C_002_E1|1,Och-C_002_E1,1,74,33,33,258
