plate_key,plateid,adj_abs_diff_mean_obs,adj_abs_diff_mean_perm_mean,adj_abs_diff_mean_perm_sd,adj_abs_diff_mean_p_value,adj_abs_diff_median_obs,adj_abs_diff_median_perm_mean,adj_abs_diff_median_perm_sd,adj_abs_diff_median_p_value,cluster_mismatch_obs,cluster_mismatch_perm_mean,cluster_mismatch_perm_sd,cluster_mismatch_p_value
Och-ACan_LCWGS-libraries,Och-ACan_LCWGS-libraries,0.02023759117647059,0.034567691299999995,0.004226989045679652,0.003,0.00411349999999999,0.006188909600000014,0.00113576349117487,0.059,0.11764705882352941,0.22911764705882354,0.03489117172656556,0.005
Och-A_RedoLibraries,Och-A_RedoLibraries,0.08307731629629629,0.10409082011925926,0.005889106695861446,0.001,0.03332600000000008,0.05833279129999999,0.005845587662868346,0,0.2074074074074074,0.2490814814814815,0.022513353892835528,0.077
Och-CBur_LCWGS-libraries,Och-CBur_LCWGS-libraries,0.015487062500000006,0.020147768087500007,0.0017424220045787506,0.006,7.999999998009599e-7,0.0015174462999999602,0.0010854584019314578,0.042,0,0,0,1
PIRE-A_LibrariesforCapture_Jan2023-2,PIRE-A_LibrariesforCapture_Jan2023-2,0.0801878044117647,0.1041118074125,0.005829366763587563,0,0.038278550000000015,0.058365535399999995,0.005949593869490061,0.001,0.19852941176470587,0.24763970588235293,0.023646653335185484,0.049
PIRE-C_Libraries-Apr2023-1,PIRE-C_Libraries-Apr2023-1,0.04805574444444445,0.05283845900740741,0.003010548058301298,0.109,0.041827400000000015,0.044843637150000004,0.005052235380068215,0.524,0,0,0,1
PIRE-C_LibrariesforCapture_Jan2023-2,PIRE-C_LibrariesforCapture_Jan2023-2,0.05381508095238095,0.065004285325,0.004423780721103255,0.01,0.04580655000000006,0.055604058500000005,0.00592324124360537,0.087,0,0,0,1
