subsampling_group,date_subsampling_date,subsampler,n_group,n_nonmissing_admixedness,n_missing_admixedness,adj_abs_diff_mean,adj_abs_diff_median,high_low_transition_rate,period2_corr,period3_corr
2022-02-11|Hunter_Martin,2022-02-11,Hunter_Martin,9,9,0,0.02576236250000001,0.018053649999999977,0.125,0.34641016151377546,-0.26352313834736496
2022-02-14|Hunter_Martin,2022-02-14,Hunter_Martin,42,41,1,0.05360437999999999,0.044814749999999966,0.2,0.15258542828582966,0.16518544411683322
2022-09-22|John_Schaefer,2022-09-22,John_Schaefer,24,24,0,0.011387139130434789,0.003110100000000001,0.21739130434782608,-0.1805787796286538,0.21379083642460084
2022-09-29|John_Schaefer,2022-09-29,John_Schaefer,1,1,0,NA,NA,NA,NA,NA
2022-09-30|John_Schaefer,2022-09-30,John_Schaefer,40,40,0,0.034864384615384596,0.02589589999999997,0.28205128205128205,0.20791107927562077,-0.10944697573009561
2022-10-12|David_Baker,2022-10-12,David_Baker,12,12,0,0.09393869999999999,0.042282000000000014,0.2727272727272727,0.28968272975116055,0.5321811563901744
2022-10-12|Gabe_Salomon,2022-10-12,Gabe_Salomon,18,18,0,0.1519938882352941,0.10513069999999985,0.23529411764705882,-0.46045300577898546,-0.07868894753646337
2022-10-13|Gabe_Salomon,2022-10-13,Gabe_Salomon,6,6,0,0.09956333999999997,0.04166480000000003,0.2,-0.09759000729485331,-0.8366600265340756
2022-11-17|Gabe_Salomon,2022-11-17,Gabe_Salomon,22,22,0,0.05290474761904762,0.06241270000000001,0.38095238095238093,0.6519822451614378,-0.07386488642451464
2022-12-07|Gabe_Salomon,2022-12-07,Gabe_Salomon,40,13,27,0.04870885833333331,0.03413124999999993,0.3333333333333333,0.20619652471058064,0.12407291674636628
2022-12-12|Gabe_Salomon,2022-12-12,Gabe_Salomon,36,28,8,0.045010374074074065,0.02849349999999995,0.2222222222222222,-0.017685270302576366,-0.20146228209571823
2022-12-13|Gabe_Salomon,2022-12-13,Gabe_Salomon,4,0,4,NA,NA,NA,NA,NA
2023-01-05|Gabe_Salomon,2023-01-05,Gabe_Salomon,50,29,21,0.04473748571428572,0.012038800000000013,0.32142857142857145,-0.3723017637516886,0.03578565103007457
2023-01-10|David_Baker,2023-01-10,David_Baker,46,35,11,0.0044874382352941165,9.499999999440647e-7,0.2647058823529412,0.07652662824675659,-0.04196553317368932
