sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat017,OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchACat018,OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchACat019,OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat020,OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat021,OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat022,OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat023,OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat024,OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999999,-9.999999994736442e-8
OchACat025,OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat026,OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat027,OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat028,OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat029,OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat030,OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat031,OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchACat032,OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat033,OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
OchACat034,OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1.0000001,1.0000000005838672e-7
OchACat035,OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchACat036,OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchACat037,OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,4,1,0
