sample_id,sample,era,location,K2,K3,K4,prop_sum,max_prop,dominant_cluster,entropy,effective_clusters,admixedness
OchACan001,OchACan001.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.014509900000000001,9.89e-5,0.9853912,1,0.9853912,K4,0.07683287007009616,1.0798615841193302,0.014608799999999977
OchACan002,OchACan002.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.012064,9.93e-5,0.9878367,1,0.9878367,K4,0.06629738515254195,1.068544439171789,0.012163299999999988
OchACan003,OchACan003.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.015882999999999998,9.89e-5,0.9840181,1,0.9840181,K4,0.08256092177777602,1.0860648364242678,0.015981899999999993
OchACan004,OchACan004.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0162303,9.92e-5,0.9836705,1,0.9836705,K4,0.08399294879112482,1.0876212247373553,0.016329499999999997
OchACan005,OchACan005.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0122223,9.94e-5,0.9876782,0.9999998999999999,0.9876782,K4,0.06699471526502176,1.0692898272463165,0.01232180000000005
OchACan006,OchACan006.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.012573800000000001,9.95e-5,0.9873267,1,0.9873267,K4,0.06853428900276981,1.0709373456950297,0.012673299999999998
OchACan007,OchACan007.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0210545,9.82e-5,0.9788473,1,0.9788473,K4,0.10311749165109542,1.1086216552131516,0.021152700000000024
OchACan008,OchACan008.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0218274,9.83e-5,0.9780743,1,0.9780743,K4,0.1060714561926313,1.111901325903252,0.021925700000000048
OchACan009,OchACan009.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0138545,9.9e-5,0.9860465,1,0.9860465,K4,0.07405392964796047,1.076864878874086,0.013953499999999952
OchACan010,OchACan010.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.018884400000000003,0.012882,0.9682336,1,0.9682336,K4,0.16227800546869822,1.176187182342102,0.03176639999999997
OchACan011,OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0144206,9.93e-5,0.98548,0.9999999,0.98548,K4,0.07645968516947813,1.079458671266552,0.014519999999999977
OchACan012,OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0195671,9.93e-5,0.9803336,1,0.9803336,K4,0.09736214647979358,1.1022594807397987,0.019666399999999973
OchACan013,OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,0.0226775,9.89e-5,0.9772235,0.9999999,0.9772235,K4,0.10929279869569052,1.115488916229811,0.022776499999999977
