Sample,era,location,Cluster,Prop
OchACan001.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.89E-05
OchACan001.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.014411
OchACan001.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.89E-05
OchACan001.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9853912
OchACan002.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.93E-05
OchACan002.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0119647
OchACan002.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.93E-05
OchACan002.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9878367
OchACan003.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.89E-05
OchACan003.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0157841
OchACan003.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.89E-05
OchACan003.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9840181
OchACan004.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.92E-05
OchACan004.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0161311
OchACan004.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.92E-05
OchACan004.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9836705
OchACan005.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.94E-05
OchACan005.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0121229
OchACan005.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.94E-05
OchACan005.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9876782
OchACan006.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.95E-05
OchACan006.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0124743
OchACan006.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.95E-05
OchACan006.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9873267
OchACan007.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.82E-05
OchACan007.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0209563
OchACan007.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.82E-05
OchACan007.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9788473
OchACan008.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.83E-05
OchACan008.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0217291
OchACan008.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.83E-05
OchACan008.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9780743
