Sample,era,location,Cluster,Prop
OchACan009.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.90E-05
OchACan009.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0137555
OchACan009.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.90E-05
OchACan009.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9860465
OchACan010.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,0.0187841
OchACan010.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0001003
OchACan010.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,0.012882
OchACan010.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9682336
OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.93E-05
OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0143213
OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.93E-05
OchACan011.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.98548
OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.93E-05
OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0194678
OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.93E-05
OchACan012.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9803336
OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.89E-05
OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0225786
OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.89E-05
OchACan013.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9772235
OchACan014.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.87E-05
OchACan014.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0195314
OchACan014.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.87E-05
OchACan014.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9802712
OchACan015.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,0.0091085
OchACan015.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0001005
OchACan015.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,0.0213651
OchACan015.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9694259
OchACan016.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.88E-05
OchACan016.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0163994
OchACan016.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.88E-05
OchACan016.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9834028
OchACan017.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.90E-05
OchACan017.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0149539
OchACan017.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.90E-05
OchACan017.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9848481
OchACan018.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.90E-05
OchACan018.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0164214
OchACan018.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.90E-05
OchACan018.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9833807
OchACan019.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.86E-05
OchACan019.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0167363
OchACan019.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.86E-05
OchACan019.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9830666
OchACan020.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.93E-05
OchACan020.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0152109
OchACan020.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.93E-05
OchACan020.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9845904
OchACan021.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,9.93E-05
OchACan021.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0140758
OchACan021.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,9.93E-05
OchACan021.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.9857255
OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,0.029173
OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.1075534
OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,0.8631737
OchACan022.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,1.00E-04
OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,0.0916811
OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0409812
OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,0.8609269
OchACan023.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.0064108
OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K1,0.1073342
OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K2,0.0001002
OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K3,0.8290882
OchACan024.merged.rmdup.merged.realn.rescaled.bam,Historical,Can,K4,0.0634773
OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0479999
OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0135923
OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9383077
OchACat001.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.97E-05
OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.071094
OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9287066
OchACat002.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.97E-05
OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,1.00E-04
OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0687472
OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9310529
OchACat003.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0605035
OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0152767
OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9172292
OchACat004.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0069906
OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.85E-05
OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.113733
OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.88607
OchACat005.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.85E-05
OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.93E-05
OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0854243
OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9143772
OchACat006.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.93E-05
OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0411924
OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,1.00E-04
OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.80507
OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.1536377
OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.87E-05
OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0990658
OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9007369
OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.87E-05
OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0956427
OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0115177
OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8895792
OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0032604
OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0893216
OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0045858
OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8962187
OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0098738
OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.98E-05
OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0696268
OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9255515
OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0047218
OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0791474
OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.038106
OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8585436
OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0242031
OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.93E-05
OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0773305
OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9224708
OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.93E-05
OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0430473
OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.027247
OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9296057
OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.99E-05
OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.86E-05
OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.1068075
OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8929952
OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.86E-05
OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.99E-05
OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0748253
OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9249749
OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.99E-05
OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0638308
OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.001054
OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9350151
OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.86E-05
OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.1117377
OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.888065
OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.86E-05
OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.96E-05
OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.08584
OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9139609
OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.96E-05
OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0817169
OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0110327
OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9071505
OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0665673
OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0449321
OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8821653
OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0063353
OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0830855
OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.024339
OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8894494
OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0031262
OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0110589
OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0623589
OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9262874
OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0002948
OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.1091189
OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0001001
OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8616838
OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0290971
OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.054076
OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.024498
OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9204159
OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0010102
OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0519794
OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0285088
OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9194118
OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.036603
OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.035887
OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9274101
OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.98E-05
OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0924625
OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.907338
OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.98E-05
OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.94E-05
OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0830127
OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9167886
OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.94E-05
OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.92E-05
OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0970041
OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9027975
OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.92E-05
OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0570015
OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0253767
OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9175217
OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.05464
OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0102248
OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.888473
OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0466622
OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0831351
OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0077902
OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9037184
OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0053563
OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0415249
OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0381891
OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9201861
OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0339398
OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.043841
OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9221191
OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1.00E-04
OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0828544
OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0090039
OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8273469
OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0807947
OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,9.95E-05
OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0716884
OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9281126
OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.95E-05
OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0912605
OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0001002
OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8988233
OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.009816
OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0508624
OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,1.00E-04
OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8139906
OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.135047
OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0808687
OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0064824
OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9091052
OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0035437
OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K1,0.0622535
OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0200803
OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9175662
OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.99E-05
OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0926373
OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,1.00E-04
OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.876946
OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0303167
OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.1116806
OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001001
OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.879118
OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0091013
OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.1088417
OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,1.00E-04
OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8867778
OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0042804
OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0882461
OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001005
OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.4844446
OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.4272088
OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0339283
OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001005
OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.0067001
OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.9592711
OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0877019
OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001002
OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.7682712
OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.1439266
OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0462341
OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001012
OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.0673862
OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.8862786
OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0657407
OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001013
OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.5310016
OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.4031563
OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0292587
OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001003
OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.2394798
OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.7311612
OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0480387
OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001006
OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.6260305
OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.3258302
OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0223862
OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001011
OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.3012813
OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.6762314
OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.036268
OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001009
OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.3207257
OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.6429054
OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K1,0.0518247
OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0001011
OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.2080349
